City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Longyearbyen,SJ,78.2186,15.6401,42.64,70,75,10.36,broken clouds
1,Clyde River,CA,70.4692,-68.5914,35.83,80,20,36.82,few clouds
2,Busselton,AU,-33.65,115.3333,55.83,72,97,22.77,overcast clouds
3,Arroyo,ES,41.6096,-4.7969,87.84,30,75,13.8,thunderstorm
4,Svetlogorsk,BY,52.6333,29.7333,57.4,87,100,3.85,overcast clouds
5,Buraydah,SA,26.326,43.975,100.85,12,0,5.23,clear sky
6,Ilhabela,BR,-23.7781,-45.3581,76.91,57,2,4.0,clear sky
7,Vanimo,PG,-2.6741,141.3028,76.51,88,27,3.71,scattered clouds
8,Dikson,RU,73.5069,80.5464,30.11,95,48,14.18,scattered clouds
9,Grand Gaube,MU,-20.0064,57.6608,69.39,77,1,1.99,clear sky
10,Berlevag,NO,70.8578,29.0864,42.8,81,75,4.61,broken clouds
11,Castro,BR,-24.7911,-50.0119,67.68,70,61,12.75,broken clouds
12,Provideniya,RU,64.3833,-173.3,49.57,51,15,1.48,few clouds
13,Rikitea,PF,-23.1203,-134.9692,72.32,66,54,2.37,broken clouds
14,Ilulissat,GL,69.2167,-51.1,36.0,94,100,5.68,light rain
15,Lebu,CL,-37.6167,-73.65,50.77,77,58,7.83,broken clouds
16,Abong Mbang,CM,3.9833,13.1833,68.31,96,97,2.46,moderate rain
17,Cape Town,ZA,-33.9258,18.4232,59.41,80,75,20.71,moderate rain
18,Weihe,CN,32.9952,105.3247,62.71,88,100,2.15,overcast clouds
19,Carnarvon,AU,-24.8667,113.6333,64.47,100,100,6.91,overcast clouds
20,Airai,TL,-8.9266,125.4092,57.11,94,65,3.4,broken clouds
21,Hermanus,ZA,-34.4187,19.2345,58.95,60,7,10.0,clear sky
22,Butaritari,KI,3.0707,172.7902,82.15,77,11,14.83,light rain
23,Khatanga,RU,71.9667,102.5,58.73,65,58,9.37,broken clouds
24,Port Alfred,ZA,-33.5906,26.891,63.7,45,32,11.45,scattered clouds
25,Alofi,NU,-19.0595,-169.9187,75.09,88,75,12.66,broken clouds
26,Manaure,CO,11.7751,-72.4445,89.67,54,80,19.55,broken clouds
27,Carrboro,US,35.9101,-79.0753,98.06,53,58,1.99,broken clouds
28,Yellowknife,CA,62.456,-114.3525,64.92,42,20,5.01,few clouds
29,Eureka,US,40.8021,-124.1637,63.18,68,47,3.0,scattered clouds
30,Hithadhoo,MV,-0.6,73.0833,82.08,74,100,8.48,overcast clouds
31,Albany,US,42.6001,-73.9662,82.94,45,10,15.19,clear sky
32,Vestmannaeyjar,IS,63.4427,-20.2734,54.59,76,40,23.02,scattered clouds
33,Kryvyy Rih,UA,47.9167,33.35,72.72,42,90,7.49,overcast clouds
34,Sibolga,ID,1.7427,98.7792,74.48,93,100,3.74,moderate rain
35,Ancud,CL,-41.8697,-73.8203,44.22,66,89,4.61,overcast clouds
36,Nikolskoye,RU,59.7035,30.7861,55.87,78,100,6.38,overcast clouds
37,Esperance,AU,-33.8667,121.9,57.04,87,10,21.36,clear sky
38,Vaini,TO,-21.2,-175.2,75.36,88,75,9.22,broken clouds
39,Hamilton,US,39.1834,-84.5333,87.89,58,76,5.99,broken clouds
40,Bonavista,CA,48.6499,-53.1147,51.1,76,6,20.65,clear sky
41,Council Bluffs,US,41.2619,-95.8608,88.39,49,0,9.22,clear sky
42,Jamestown,US,42.097,-79.2353,76.01,48,0,8.01,clear sky
43,Bredasdorp,ZA,-34.5322,20.0403,54.48,55,3,1.9,clear sky
44,Yulara,AU,-25.2406,130.9889,56.68,54,44,8.1,scattered clouds
