City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Arroyo,ES,87.84,thunderstorm,41.6096,-4.7969,Hotel El Jardín de la Abadía
6,Ilhabela,BR,76.91,clear sky,-23.7781,-45.3581,Ilha Flat Hotel
7,Vanimo,PG,76.51,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
22,Butaritari,KI,82.15,light rain,3.0707,172.7902,Isles Sunset Lodge
25,Alofi,NU,75.09,broken clouds,-19.0595,-169.9187,Taloa Heights
26,Manaure,CO,89.67,broken clouds,11.7751,-72.4445,Hotel Palaaima
30,Hithadhoo,MV,82.08,overcast clouds,-0.6,73.0833,Scoop Guest House
31,Albany,US,82.94,clear sky,42.6001,-73.9662,
38,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
39,Hamilton,US,87.89,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
41,Council Bluffs,US,88.39,clear sky,41.2619,-95.8608,"Holiday Inn Express & Suites Council Bluffs - Conv Ctr Area, an IHG Hotel"
42,Jamestown,US,76.01,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
45,Wuhu,CN,76.64,broken clouds,31.3366,118.3755,JI Hotel Wuhu Pedestrian Street
47,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
49,Ingham,US,79.83,clear sky,42.6,-84.3833,Sunset Mobile Home Park
52,Lorengau,PG,79.97,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
53,Hilo,US,79.29,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
54,Kailua,US,79.48,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
55,Kapaa,US,76.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
57,Arraial Do Cabo,BR,78.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
61,Makakilo City,US,78.01,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
62,Bengkulu,ID,75.96,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
63,Oistins,BB,87.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
66,Sao Filipe,CV,75.11,overcast clouds,14.8961,-24.4956,Hotel Xaguate
67,Georgetown,MY,78.89,scattered clouds,5.4112,100.3354,Cititel Penang
69,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
79,Kavieng,PG,82.53,broken clouds,-2.5744,150.7967,Nusa Island Retreat
80,Bellary,IN,84.88,overcast clouds,15.15,76.9333,Hotel Pawan
84,Salisbury,GB,80.69,few clouds,51.0693,-1.7957,Mercure Salisbury White Hart Hotel
88,Srikakulam,IN,83.5,overcast clouds,18.3,83.9,Micro Systems
92,Kalmunai,LK,79.09,heavy intensity rain,7.4167,81.8167,VS Villa
96,Atuona,PF,78.46,clear sky,-9.8,-139.0333,Villa Enata
98,Danao,PH,80.65,clear sky,10.5208,124.0272,Danao Coco Palms Resort
105,Palmas,BR,89.47,few clouds,-10.2128,-48.3603,Hotel Lago da Palma
111,Nago,JP,75.45,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
115,The Valley,AI,85.86,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
